country,OECD,id,weight,sex,grade,computer,software,internet,addit_time_math,addit_time_science,parent_support,parent_status,want_best_grades,want_best_student,test_anxiety,enjoy_cooperation,sense_of_belonging,parent_support_emotional,HOMESCH,ENTUSE,ICTHOME,ICTSCH,wealth,parent_edu,learning_mins,escs_index,teacher_support_science,teacher_direct_science,inquiry_based_science,science_self_efficacy,math,reading,science,learning_hours,region
United States,Yes,84009101,558.4412,Female,10,Yes,Yes,Yes,8,3,Strongly agree,Agree,Strongly agree,Strongly agree,0.2495,1.0425,-0.3381,-0.8863,NA,NA,NA,NA,-0.7622,16,1750,0.9629,0.4284,-0.4473,-0.4437,0.4953,677.292,718.5961,701.1718,29,N. America
United States,No,84002722,392.2679,Male,10,Yes,Yes,No,5,4,Agree,Agree,Agree,Agree,-0.4305,0.6615,-0.3381,-0.889,NA,NA,NA,NA,-0.636,16,1350,-0.0952,-0.1164,0.191,-0.4771,0.4836,393.984,437.1961,475.0143,22,N. America
B-S-J-G (China),Yes,97001890,171.8439,Female,10,Yes,Yes,Yes,21,0,Agree,Strongly agree,Strongly agree,Strongly agree,0.0845,0.6369,-0.5435,-0.889,-0.5417,-0.131,9,5,1.2843,16.5,2610,1.1827,0.8213,-0.5068,-0.5522,1.5486,670.3272999999999,701.1504,690.325,44,Asia
Italy,Yes,38019242,75.51159,Female,10,Yes,No,Yes,9,3,Agree,Agree,Agree,Disagree,0.2594,-0.2882,-0.3381,-0.889,-0.8301,-0.8622,6,6,-0.0304,13,1620,-0.0314,-1.0214,-1.315,-1.8609,-0.2227,437.6229,561.7223,483.0972,27,Europe
United States,Yes,84004856,623.7531,Female,10,Yes,Yes,Yes,10,10,Strongly agree,Agree,Disagree,Disagree,0.5209,-0.2882,-0.9585,1.0991,NA,NA,NA,NA,-0.1431,12,1785,-0.4903,-0.1164,0.4505,-0.121,0.3155,353.3393,426.614,409.349,30,N. America
Colombia,No,17008593,82.47567,Male,10,Yes,No,No,2,1,Strongly agree,Agree,Strongly agree,Strongly agree,1.1168,0.2835,0.7246,1.0991,NA,0.3603,6,9,-2.4703,15.5,1800,-0.4331,0.0758,0.314,-0.0993,3.2775,290.0672,296.7563,301.9855,30,S. America
Jordan,Yes,40002194,33.26618,Female,10,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,0.9357,NA,NA,NA,NA,NA,0.5222,12,NA,-0.6829,1.4475,0.7995,0.8179,-0.7396,373.2044,511.4278,473.0646,NA,Middle-East
Colombia,No,17003519,151.1987,Male,10,No,No,No,5,6,Agree,Strongly agree,Strongly agree,Agree,0.2594,-0.2882,0.7701,0.025,0.6089,-0.4061,5,2,-1.7145,15.5,NA,-0.8386,0.8213,0.5087,1.007,-1.4794,368.6066,332.8548,349.8566,NA,S. America
Japan,Yes,39202525,160.7606,Female,10,Yes,No,Yes,5,3,Strongly agree,Disagree,Disagree,Disagree,0.3233,2.2879,-0.1715,1.0991,-0.504,-0.0325,10,6,-0.4946,12,1550,-0.7671,1.4475,1.1203,0.659,0.7476,574.5586,613.1772,641.412,26,Asia
United States,Yes,84008605,848.2277,Male,10,Yes,No,Yes,2,2,Agree,Agree,Agree,Agree,0.5209,-0.2882,-0.4725,-0.889,NA,NA,NA,NA,0.2051,12,1125,-0.5076,-1.2399,-0.3597,-0.8551,-1.879,466.679,500.5077,499.6182,19,N. America
Mexico,No,48410313,615.25,Female,10,Yes,Yes,No,1,1,Agree,Strongly agree,Agree,Agree,2.5493,0.9455,0.2067,-0.889,0.6019,-0.1826,4,3,-0.4603,16,1250,0.4776,NA,NA,1.0575,NA,410.9326,425.7321,419.7142,21,N. America
United States,Yes,84003235,646.9723,Male,10,Yes,Yes,Yes,2,2,Agree,Disagree,Agree,Agree,0.9961,-0.2882,-0.5064,-0.2511,NA,NA,NA,NA,0.2051,12,640,-0.5629,1.4475,0.2564,-0.0979,0.3572,500.6728,557.5151,551.5857,11,N. America
France,Yes,25001644,136.8937,Male,10,Yes,No,Yes,2,2,Strongly agree,Agree,Agree,Agree,0.5209,-0.2882,-0.3381,-1.09,3.6039,4.8357,11,10,0.7688,9,1700,-1.287,-0.1164,0.4505,-0.3629,-1.0524,507.6485,421.705,486.2296,28,Europe
B-S-J-G (China),No,97007730,365.9851,Female,9,No,Yes,No,3,4,Strongly agree,Agree,Agree,Strongly agree,-0.9109,2.2879,-0.0621,0.5658,-0.7888,-0.7285,6,1,-1.8571,9,2200,-2.0571,-0.4527,-1.1206,-0.1905,0.7542,642.2061,583.9053,624.9987,37,Asia
Germany,Yes,27600434,111.0167,Male,9,Yes,Yes,Yes,2,3,Strongly agree,Agree,Strongly agree,Strongly agree,-1.0698,2.029,2.5915,1.0991,0.2127,0.7032,NA,NA,0.9148,13,1485,-0.3337,0.4922,0.3037,0.2857,-0.2498,475.3283,451.8251,468.329,25,Europe
Mexico,Yes,48408814,199.9203,Female,10,Yes,No,Yes,7,7,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0.5209,2.2879,2.5915,1.0991,-0.1005,-0.1519,10,4,0.2304,16,1400,0.7634,-1.2399,-1.315,-0.515,0.556,443.3148,487.3312,435.68129999999996,23,N. America
Brazil,Yes,7628578,124.6167,Female,11,Yes,No,Yes,2,2,Agree,Agree,Strongly agree,Agree,1.5125,-0.2882,-0.6525,-0.4263,NA,NA,NA,NA,-2.001,3,NA,-2.7175,NA,NA,NA,NA,368.466,453.8799,412.6524,NA,S. America
Lebanon,Yes,42203256,8.20211,Female,10,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,-0.2913,NA,NA,NA,NA,NA,-0.6489,12,NA,-1.2529,-0.2358,0.8634,0.2474,-0.392,446.3061,340.7277,371.7946,NA,Middle-East
Mexico,No,48402271,371.8431,Female,9,No,No,No,1,1,Strongly agree,Strongly disagree,Strongly agree,Agree,1.1311,-0.2882,-0.1985,1.0991,0.428,0.0719,3,5,-2.2006,12,240,-0.9964,1.4475,0.2564,1.1599,0.714,389.9022,396.9028,378.1718,4,N. America
France,Yes,25003598,110.018,Male,10,Yes,No,Yes,3,3,Agree,Strongly disagree,Strongly agree,Agree,-0.6171,1.4116,0.5599,0.025,1.442,0.1582,11,7,0.0697,15,1740,0.1366,0.6375,-1.2233,0.4166,-1.2294,550.419,538.5703,608.206,29,Europe
Colombia,Yes,17008439,41.3238,Female,10,Yes,No,Yes,3,2,Strongly agree,Strongly agree,Agree,Agree,1.7184,0.5759,0.525,1.0991,0.6119,0.3885,6,7,-1.7426,11,1020,-1.0528,-1.0753,-0.1495,-1.3691,0.9949,393.5935,476.4757,426.7652,17,S. America
United States,Yes,84004704,613.814,Male,10,Yes,No,Yes,6,4,Strongly agree,Agree,Agree,Agree,0.5306,-0.2882,-1.0137,-0.2495,NA,NA,NA,NA,1.7331,16,2000,1.0153,-0.6954,-0.1495,-0.5917,0.1291,642.9643,636.6293000000001,656.6861,33,N. America
Japan,No,39201914,153.6632,Male,10,No,No,No,1,0,Agree,Disagree,Disagree,Disagree,1.3578,-1.0775,-0.5064,-0.2511,-1.7857,-0.7527,5,4,-2.1369,16,2100,-1.011,-0.1164,0.0532,0.4793,-0.866,555.9001000000001,564.6078,568.1345,35,Asia
United States,Yes,84009099,702.6839,Female,10,Yes,Yes,Yes,5,5,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,0.2594,-0.3244,-0.7244,1.0991,NA,NA,NA,NA,1.282,16,2280,0.7524,-0.1164,0.4505,-0.121,-1.0524,431.966,443.3538,438.4626,38,N. America
United States,Yes,84002425,551.9976,Female,11,Yes,Yes,Yes,12,10,Strongly agree,Disagree,Strongly agree,Agree,-0.0374,0.4252,-0.3381,1.0991,NA,NA,NA,NA,0.8508,14,2100,-0.0591,0.5683,-1.4026,-1.027,-0.2623,469.2555,582.7107,535.7451,35,N. America
Mexico,No,48403478,342.225,Male,9,No,No,No,6,5,Agree,Disagree,Strongly agree,Strongly agree,-0.2039,-0.2882,-1.236,0.3821,-0.384,-1.5403,3,4,-2.2449,9,1250,-1.5904,-1.0718,NA,-0.121,NA,380.103,339.5307,357.2021,21,N. America
United States,Yes,84000346,1548.798,Female,10,Yes,Yes,Yes,5,5,Strongly agree,Strongly agree,Strongly agree,Agree,0.5209,1.5899,2.5915,0.1711,NA,NA,NA,NA,0.3174,16,2700,1.3706,0.9133,1.4332,0.1445,0.1476,498.955,540.7044,524.4987,45,N. America
B-S-J-G (China),Yes,97003101,365.9851,Female,8,No,Yes,Yes,14,10,Agree,Agree,Agree,Disagree,-0.0374,-0.2882,-0.8455,-1.2602,0.3435,-0.4996,7,4,-1.6421,15,1400,-0.5291,-1.4097,0.4505,-1.1548,-0.0257,524.9905,549.7564,506.36580000000004,23,Asia
Korea,Yes,41004892,93.48705,Male,10,Yes,No,Yes,4,0,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,-2.505,2.2879,-1.055,0.5658,-2.6893,-0.6357,NA,5,-1.2085,12,2250,-0.866,1.4475,0.3221,-1.0595,-1.2662,508.7126,552.24,533.2427,38,Asia
Mexico,Yes,48403173,459.0506,Male,8,Yes,No,Yes,5,6,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,-1.1488,0.8242,0.2947,0.4662,-0.8651,0.067,8,1,-0.0212,16,1200,1.0449,1.4475,0.0026,0.4255,3.2775,431.99,500.9377,532.7452,20,N. America
B-S-J-G (China),No,97000104,207.439,Male,9,No,No,No,3,10,Strongly agree,Strongly agree,Agree,Agree,0.5209,-0.2882,0.1308,0.1018,-0.7268,-0.5772,3,3,-2.5761,3,1530,-3.4246,-0.4904,-0.6102,-0.1979,-0.7297,535.0366,501.1826,527.9628,26,Asia
Japan,Yes,39202304,165.2451,Male,10,Yes,No,Yes,NA,NA,Disagree,Strongly agree,Strongly disagree,Strongly disagree,-2.505,0.4252,1.0269,-1.7569,-0.5819,-0.0349,8,NA,-0.0666,NA,1450,-0.4681,1.4475,-2.4476,-0.3037,-3.7565,484.6444,335.5218,398.303,24,Asia
Japan,Yes,39201167,200.5569,Female,10,Yes,No,Yes,3,1,Strongly agree,Disagree,Strongly agree,Agree,0.5348,-0.6592,-1.3068,1.0991,-0.4873,-0.8141,8,5,-0.2885,16,1800,0.5378,-0.4113,-0.5997,-0.8001,-0.8799,600.6152999999999,559.2461,575.5198,30,Asia
United States,Yes,84003762,633.8956,Female,10,Yes,NA,Yes,2,2,Strongly agree,Agree,Strongly agree,Agree,0.7721,0.9455,-0.4284,0.5658,NA,NA,NA,NA,-0.7808,14,450,-0.6143,0.5731,-0.8464,-0.158,-2.0617,355.44259999999997,468.4132,399.1086,8,N. America
Germany,Yes,27602178,103.071,Male,10,Yes,No,Yes,1,NA,Strongly agree,Strongly agree,Disagree,Strongly disagree,-0.8371,-2.1297,1.398,1.0991,-0.158,0.5425,NA,NA,-0.3188,18,1710,0.6873,-1.5313,-0.6849,-1.2811,-0.363,485.2469,529.8191,475.4764,28,Europe
Japan,Yes,39203553,146.729,Female,10,Yes,Yes,Yes,5,5,Strongly agree,Strongly agree,Disagree,Strongly disagree,1.0461,-0.3352,0.6642,1.0991,-1.2858,-0.8513,8,6,-1.3309,12,2000,-0.1991,0.6325,-0.4484,-0.4103,0.5509,604.5371,655.1567,650.0952,33,Asia
Korea,Yes,41005278,107.5944,Male,9,Yes,Yes,Yes,15,7,Agree,Strongly agree,Strongly agree,Strongly agree,-0.4305,1.0425,0.6642,-0.889,0.2241,-0.0311,9,8,-0.3607,14,1395,0.3711,1.4475,2.0781,0.6573,3.2775,590.7368,569.8651,581.1095,23,Asia
United States,Yes,84000397,751.307,Male,10,Yes,Yes,Yes,9,8,Strongly agree,Disagree,Strongly agree,Strongly agree,-0.4671,2.2879,2.5915,1.0991,NA,NA,NA,NA,0.3882,16,1680,0.9934,1.4475,-2.4476,2.9056,3.2775,423.2245,506.6575,479.7346,28,N. America
Germany,Yes,27610788,121.7802,Female,9,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1838,NA,NA,-0.9042,0.6426,NA,NA,NA,310.2904,287.4367,278.2461,NA,Europe
