country,OECD,id,weight,sex,grade,computer,software,internet,addit_time_math,addit_time_science,parent_support,parent_status,want_best_grades,want_best_student,test_anxiety,enjoy_cooperation,sense_of_belonging,parent_support_emotional,HOMESCH,ENTUSE,ICTHOME,ICTSCH,wealth,parent_edu,learning_mins,escs_index,teacher_support_science,teacher_direct_science,inquiry_based_science,science_self_efficacy,math,reading,science,learning_hours,region
United States,Yes,84010767,758.8029,Female,10,Yes,Yes,Yes,1,2,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0.8565,0.9455,0.4451,1.0991,NA,NA,NA,NA,2.1451,16,1500,1.4907,-0.4967,1.0203,-0.8538,-1.4044,432.3203,532.1277,480.1859,25,N. America
United States,Yes,84010299,688.4024,Male,10,No,Yes,Yes,9,11,Strongly agree,Agree,Strongly agree,Strongly agree,-0.4753,1.0425,-1.1955,-0.7498,NA,NA,NA,NA,-0.7076,16,NA,0.9355,0.8213,0.9477,1.7946,3.2775,497.9488,541.5056,531.9534,NA,N. America
United States,Yes,84002440,609.7625,Female,10,Yes,Yes,No,6,6,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,-0.5388,0.5759,-0.9883,0.5658,NA,NA,NA,NA,-0.7871,12,1800,-0.6412,1.4475,0.4505,0.815,-0.0444,494.1969,569.8625,531.1022,30,N. America
United States,Yes,84004908,462.119,Female,10,Yes,Yes,Yes,2,1,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1.7237,2.2879,-0.8616,1.0991,NA,NA,NA,NA,0.0963,12,1250,-0.7964,0.3028,2.0781,0.4523,-0.6714,323.2507,396.0673,385.5245,21,N. America
United States,Yes,84006044,823.227,Female,10,Yes,No,Yes,14,14,Strongly agree,Agree,Strongly agree,Strongly agree,-0.308,-0.2882,-0.3381,1.0991,NA,NA,NA,NA,0.0902,9,1750,-1.1057,0.9133,1.0322,0.2033,-0.0663,549.3543999999999,621.3314,647.9914,29,N. America
United States,Yes,84007890,471.5052,Male,10,Yes,Yes,Yes,4,1,Strongly agree,Disagree,Strongly agree,Strongly agree,-0.2702,-0.2882,-0.3381,0.1018,NA,NA,NA,NA,-0.1562,16,1750,0.6283,1.4475,2.0781,0.9957,0.1559,578.9193,619.3272000000001,630.5215,29,N. America
United States,Yes,84010989,442.2352,Female,11,Yes,Yes,Yes,7,7,Strongly agree,Agree,Agree,Agree,0.5209,-0.2882,-0.3381,1.0991,NA,NA,NA,NA,-0.6334,14,NA,-0.3362,1.4475,-2.4476,1.8978,0.3155,475.55809999999997,519.0374,491.24879999999996,NA,N. America
United States,Yes,84005014,569.9708,Male,10,Yes,Yes,Yes,10,10,Strongly agree,Agree,Agree,Agree,0.2594,0.395,-0.3381,1.0991,NA,NA,NA,NA,0.1316,16,2700,0.8342,-0.7147,0.1354,0.2465,1.1689,620.2348,674.3907,678.7422,45,N. America
United States,Yes,84009123,587.6736,Male,10,Yes,Yes,Yes,19,19,Strongly agree,Strongly agree,Agree,Agree,0.5209,2.2879,-1.0781,1.0991,NA,NA,NA,NA,-1.0942,9,1950,-2.0499,1.4475,-2.4476,3.1829,-2.8771,368.6171,362.8421,365.198,32,N. America
United States,Yes,84009438,1129.268,Female,10,Yes,Yes,Yes,2,5,Strongly agree,Agree,Strongly agree,Strongly agree,1.181,-0.0077,-0.8913,0.5658,NA,NA,NA,NA,0.0255,16,NA,1.1702,0.141,0.2483,-0.3629,0.2968,427.6238,472.0794,457.6503,NA,N. America
United States,Yes,84006841,823.1104,Male,9,No,No,Yes,3,1,Strongly disagree,Agree,Strongly agree,Strongly agree,1.1311,-1.198,0.0048,-3.0789,NA,NA,NA,NA,-0.2304,9,1375,-1.6389,0.5458,-0.878,0.2797,0.7019,369.0593,397.0557,363.672,23,N. America
United States,Yes,84010567,833.4131,Female,11,Yes,Yes,Yes,5,5,Strongly agree,Disagree,Strongly agree,Strongly agree,0.1441,-0.2882,-1.2675,1.0991,NA,NA,NA,NA,1.0546,16,1980,1.1859,1.4475,0.2564,-0.0599,1.4469,617.2315,649.5751,632.5659,33,N. America
